"filename", "language", "JavaScript", "CSS", "Markdown", "XML", "JSON", "JSON with Comments", "Properties", "comment", "blank", "total"
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\personalInfoIcon.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\plus.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\ramzNegarCompleteLogo.svg", "XML", 0, 0, 0, 50, 0, 0, 0, 0, 1, 51
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\ramzNegarLogo.svg", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\search.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\sendTicket.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\servicesSubOperation.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\technicalDocumentationIcon.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\tickets.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\upload.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\uploadFile.svg", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\useHelpIcon.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\wageIcon.svg", "XML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\whiteEdit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\whiteSendTicket.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\public\assets\images\yellowEdit.svg", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\NewClientPanel\new_client_panel-app\server.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Project\NewClientPanel\new_client_panel-app\src\common\Accordion.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 2, 137
"d:\Project\NewClientPanel\new_client_panel-app\src\common\Input.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 2, 57
"d:\Project\NewClientPanel\new_client_panel-app\src\common\SearchForm.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarCustomers.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarServices.js", "JavaScript", 321, 0, 0, 0, 0, 0, 0, 0, 4, 325
"d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\ramzNegarSystem.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 2, 66
"d:\Project\NewClientPanel\new_client_panel-app\src\components\HomePageContent\whyRamzNegar.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 2, 116
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\ApplicationsTable.js", "JavaScript", 164, 0, 0, 0, 0, 0, 0, 1, 2, 167
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\addApplication\AppLicense.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 2, 93
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\addApplication\AppPublicInfo.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 0, 2, 192
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\AppServices.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 2, 141
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\AppSpecifications.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 3, 91
"d:\Project\NewClientPanel\new_client_panel-app\src\components\applications\applicationDetails\callServicesReports\CallServicesReportsForm.js", "JavaScript", 329, 0, 0, 0, 0, 0, 0, 13, 3, 345
